StateName,StateFIPS,PumaState,PUMA,Counties Within PUMA,uninsured_total,uninsured_percent,Foodstamp,Age0_18,Age19_25,Age26_34,Age35_54,Age55_64,Male,Female,Married,ChildinFamily,Latino,WhiteNonLatino,BlackNonLatino,AsianNonLatino,Multiracial_or_Other,Disabled,FullTime_Worker_in_Family,LessThanHS,HSDiploma,CollegeGrad,NoEnglishAdults_in_House,EnglishSpeaking,Spanish,%_EducatedPersons
California,6,601901,1901,SanJoaquinCounty(part),21352,19.5,4844,2920,4766,5262,6268,2137,11697,9655,547,6865,13646,2532,1532,36,478,136,15118,8244,1287,12,5483,13245,6556,1206.0275384038966
California,6,601902,1902,SanJoaquinCounty(part),19436,13.9,2968,1795,4801,4687,6336,1816,1162,7834,6514,7347,7855,242,182,751,242,15,1229,2621,14948,1867,2577,15617,1659,186776.90882897718
California,6,602001,2001,SanJoaquinCounty(part),28133,14.0,4656,3602,6230,7034,8485,2781,17324,181,6744,1625,11625,8547,2185,4348,1389,283,1811,6145,19643,2346,2920,21645,4556,234669.8219173213
California,6,602002,2002,SanJoaquinCounty(part),28643,18.8,4050,3502,6006,6265,9555,3316,1612,12631,148,1221,12299,1532,131,2737,456,2652,19239,7125,1854,2978,3565,23266,4168,297806.4727856719
California,6,602101,2101,ContraCostaCounty(part),23360,20.8,5529,3670,5146,3765,862,2159,11845,11514,5291,9419,12518,2178,644,2433,187,1812,17671,7916,13466,1978,7947,15267,6635,197857.6455479452
California,6,602102,2102,ContraCostaCounty(part),10910,10.8,468,1199,1741,2799,318,199,6672,4237,3273,3245,1741,488,183,2221,156,665,772,2176,6756,1978,1812,8272,481,197861.9248395967
California,6,602103,2103,ContraCostaCounty(part),12023,12.4,356,2067,762,2095,5672,1427,568,6343,3823,6155,3596,5459,514,166,67,427,9428,2893,787,243,4113,8293,1867,24306.54578724112
California,6,602104,2104,ContraCostaCounty(part),6496,5.3,155,515,283,1927,2521,125,3471,325,214,2326,188,4148,381,656,223,46,4495,312,3637,2547,1161,5245,133,254755.9883004926
California,6,602105,2105,ContraCostaCounty(part),3988,3.3,326,325,367,515,2428,352,1679,239,996,152,621,1945,559,661,22,,393,29,1397,231,361,3297,288,23135.03009027081
California,6,602106,2106,ContraCostaCounty(part),10778,9.9,819,1375,686,2856,457,184,554,5238,4199,461,423,3915,719,1632,35,62,7724,161,6952,2217,1426,8274,1766,221764.50176285024
California,6,602107,2107,ContraCostaCounty(part),21266,20.5,5011,3207,5649,4956,5715,174,1194,1172,481,7267,851,664,34,2744,651,1343,14837,651,12779,1977,2524,16797,2712,197760.09122543025
California,6,602108,2108,ContraCostaCounty(part),14213,10.0,978,1773,2918,2021,5788,1713,6877,7336,5114,7667,844,3766,79,326,885,818,11537,291,185,498,434,11005,3105,49801.30162527264
California,6,602201,2201,SanFranciscoCounty(part),14018,12.0,2107,765,2421,5148,3549,2135,7698,6321,2149,1776,2911,441,992,4969,383,1266,9788,1946,7146,4927,2062,11201,580,492750.9773148809
California,6,602202,2202,SanFranciscoCounty(part),10949,11.2,444,306,1776,3367,421,1479,5933,516,3232,2254,1256,4115,25,4922,315,314,862,2444,5482,324,2563,7640,496,32450.068499406338
California,6,602203,2203,SanFranciscoCounty(part),15578,15.5,2530,1216,3822,3997,579,1464,9981,5597,228,328,548,3941,1358,443,467,147,9475,2163,7874,554,2970,10771,2861,55450.545641289
California,6,602204,2204,SanFranciscoCounty(part),9019,9.6,492,368,1581,2401,3576,193,4399,462,1266,816,2955,4823,941,212,64,178,6176,1163,4362,3493,964,7899,922,349348.3645636989
California,6,602205,2205,SanFranciscoCounty(part),7596,8.6,865,417,1637,2183,186,1498,4548,347,1898,1542,661,2716,,4219,,242,4586,976,3466,3154,1882,5276,66,315445.6292785677
California,6,602206,2206,SanFranciscoCounty(part),8980,9.0,250,679,1684,1941,2939,1736,5396,3584,3458,2137,159,1142,21,5218,1333,425,581,131,616,1789,2838,5141,804,178906.85968819598
